ID,Gender,Birth Date,Jobcat,Job Time,Prev Exp,Minority
67086,f,44854,3,85,304,1
71464,m,46765,1,75,176,1
39547,m,48414,2,83,303,1
24274,f,44244,2,99,84,0
10794,m,40650,2,77,344,0
81324,m,40951,1,87,118,1
83936,m,46660,3,97,230,0
8124,f,40337,3,86,220,0
59694,f,48991,1,91,326,0
20836,f,44270,2,95,333,1
75800,f,48784,3,66,296,0
32105,f,49822,2,94,219,1
99689,f,48524,2,75,142,0
62259,f,49391,2,69,58,0
16277,m,48086,3,77,36,0
51577,m,42743,1,66,297,0
92738,m,41243,1,93,319,0
64823,m,49246,3,83,299,0
77277,m,48248,1,86,330,1
33948,f,40404,3,99,272,0
64303,f,40412,3,91,379,1
66781,m,42648,3,87,444,1
30797,m,40588,2,75,383,1
84612,m,45996,1,68,118,1
55041,m,48756,1,68,471,1
33709,f,44133,1,74,316,0
71419,m,49648,1,62,281,1
89205,m,44033,3,73,404,1
76040,m,44870,3,71,163,1
55417,m,47565,1,86,173,0
18606,m,47713,3,82,405,1
10179,m,41372,3,70,15,1
17387,f,44070,2,77,307,1
72532,m,47060,2,81,352,1
49924,f,46335,1,60,255,1
96899,f,43521,2,73,160,0
54775,f,48540,1,99,114,1
54564,m,41299,3,88,313,1
37246,m,45904,3,88,452,0
90207,m,40162,3,66,81,1
73689,m,48061,3,85,24,1
5794,f,44070,3,85,98,1
92860,m,48390,1,79,263,1
68770,m,40309,2,94,259,0
11806,f,41597,1,87,255,0
42597,m,44944,2,60,17,1
9756,f,49732,2,68,367,0
7017,f,48516,1,94,45,1
24110,f,46323,1,89,60,1
71124,m,49032,2,91,419,1
73336,m,41361,3,73,340,1
60261,f,46845,2,67,26,0
36420,f,44897,1,86,330,1
49824,f,40888,3,62,455,1
28488,f,40434,3,89,140,0
88166,f,46544,3,79,201,1
97991,m,40596,3,70,365,0
71218,m,40182,2,99,213,1
96668,m,44541,3,92,204,1
79808,f,42117,1,66,237,1
28223,m,40721,3,71,383,0
4237,f,49789,2,89,408,0
21211,f,41601,1,80,114,0
27669,m,40892,2,91,263,1
35100,m,44772,3,85,452,0
87343,f,46082,2,85,459,0
71218,f,41110,2,80,239,1
64303,f,45431,2,89,450,0
84640,m,48674,1,70,338,1
3031,f,44699,3,85,438,0
86912,m,46307,2,73,160,1
74546,f,44356,2,83,451,0
8544,f,41929,3,66,186,0
42906,m,42729,2,86,109,0
34056,f,48692,2,80,80,1
48639,m,45406,1,63,299,1
30973,m,46375,2,79,45,1
57267,f,42565,3,87,36,0
29786,f,41051,2,88,44,1
61683,m,42565,3,95,4,0
92363,m,45200,3,80,76,1
14396,f,49609,3,63,338,1
54227,f,43670,2,92,323,1
55754,m,47117,2,66,396,1
76522,f,40906,1,60,144,1
29033,f,41873,1,89,446,0
84404,m,43738,3,79,121,0
30803,m,45996,3,70,24,1
84081,f,48804,2,78,226,0
9620,m,43572,2,73,14,0
85020,f,47011,2,94,261,0
7259,m,49305,3,92,385,0
24054,m,43374,1,88,83,1
80258,m,46700,2,99,336,0
96264,f,48912,1,73,258,1
60220,f,41372,1,65,256,0
68272,f,49093,1,90,157,1
24635,m,47182,3,74,163,1
71419,f,40673,1,79,433,1
17755,f,45192,2,69,192,1
65362,m,41234,2,75,18,1
96392,f,48442,2,80,339,0
11986,f,40564,3,71,246,1
54775,m,45168,1,91,13,1
35536,m,43720,2,60,334,0
74135,m,43374,1,81,317,0
23954,f,47773,1,79,417,0
73336,m,49843,1,61,160,1
96899,m,43199,3,82,285,0
46552,f,42430,2,87,170,0
69108,f,45415,2,99,80,0
24153,f,41655,2,75,358,0
11228,m,40978,1,71,450,1
65971,m,44600,3,76,322,0
82863,f,49286,1,85,244,0
25512,f,43447,2,90,87,0
43846,m,42687,1,84,402,0
76040,f,47963,3,68,429,0
65844,f,43343,1,97,393,0
60933,m,41988,2,75,50,0
49443,m,43779,3,61,344,1
39148,f,47797,2,91,383,1
31228,m,45208,2,72,34,1
27025,f,46830,1,99,31,0
22361,m,43157,2,73,423,1
30695,f,42674,2,60,160,1
40677,m,41682,1,86,220,0
15126,f,44870,3,60,334,1
50003,m,47677,1,86,160,0
96611,f,43981,3,91,297,1
99516,m,42316,1,88,313,0
52294,f,40589,1,69,123,1
49503,m,45787,2,68,193,1
328,m,46408,1,82,239,0
50918,f,46544,1,91,326,1
45006,m,40336,3,88,379,1
76950,f,43611,1,97,467,1
55319,m,49031,1,99,17,0
83704,m,44442,3,82,136,0
12872,f,43212,3,62,92,0
45073,f,42679,1,80,301,0
36527,m,40529,3,67,304,1
30973,f,46923,1,92,87,0
51778,f,42565,2,69,202,1
88400,m,45634,1,61,144,0
9985,f,47056,3,61,133,1
42553,f,47953,3,66,188,0
78794,f,42831,1,84,452,0
82896,f,46265,2,94,178,0
10351,f,46222,2,60,182,0
23335,m,45631,2,79,83,0
24635,m,40309,2,83,276,0
13026,f,44058,3,72,37,1
45720,m,43510,3,97,138,1
27254,m,49031,2,89,421,0
36583,m,42165,2,74,116,0
14344,f,42565,1,63,70,1
1465,f,46746,3,93,118,1
15220,m,47425,3,61,314,1
49055,m,49996,3,73,123,1
51016,m,42103,2,61,37,0
45339,m,46014,2,86,220,0
75800,f,48248,2,97,14,0
96154,m,40267,2,75,73,1
6393,m,42503,1,89,263,1
96959,m,41226,1,96,413,0
88405,f,45208,1,72,409,0
73336,f,49974,2,81,211,1
12020,f,42366,3,86,216,1
64425,m,44473,2,98,351,0
80789,m,40838,2,92,462,1
44442,m,44633,3,66,287,1
93830,m,45385,2,91,178,0
19553,f,44959,2,90,346,0
36374,f,43942,2,96,37,0
69108,m,47736,2,96,260,0
75975,m,47163,2,96,57,1
10275,f,47870,1,89,229,1
53147,f,47822,1,96,155,1
83762,f,41281,2,80,256,1
84155,m,40747,3,82,151,0
55754,m,40529,1,71,421,1
2130,f,45328,3,64,151,0
96589,m,41265,3,81,193,0
32044,f,46644,3,93,435,1
9093,f,40893,2,71,243,1
43121,f,40761,1,73,26,0
58016,f,44945,3,75,216,0
70648,f,47431,1,85,241,0
26479,m,47038,1,60,163,1
42401,m,42530,3,97,92,1
70648,m,44746,2,74,101,0
21406,m,48923,1,63,57,0
56278,m,41905,2,68,297,0
84155,f,49486,3,83,119,0
62906,f,42848,1,75,244,1
3835,m,41408,3,99,450,0
55160,m,40007,1,88,452,1
1368,f,47104,3,69,316,0
70883,m,45516,1,97,321,0
59925,f,43352,3,66,245,0
1869,f,47091,1,62,470,1
40364,m,43094,3,89,297,1
86234,f,46017,1,75,232,1
38653,f,46014,2,69,462,1
74207,f,44027,2,86,352,0
79808,f,48668,1,85,64,0
48159,f,42605,2,60,190,1
45285,f,47011,2,88,316,1
15073,f,47961,1,65,439,1
46967,f,41560,2,62,472,1
52528,m,41172,1,64,334,0
19779,f,41813,3,97,388,0
54227,f,43157,3,61,297,0
21270,f,49867,1,85,248,1
63508,f,45161,1,61,65,1
61315,m,47091,2,97,454,1
56504,m,43760,2,68,339,0
44442,f,43361,2,93,249,0
89196,m,43666,2,82,186,0
29664,f,42767,2,73,263,1
84640,m,41191,1,97,4,1
12127,m,49205,1,87,96,0
69676,f,46789,1,98,413,1
73336,f,41247,3,92,37,0
45129,m,47971,1,76,130,0
32448,m,47669,2,87,239,0
93147,m,40314,2,82,256,1
91173,f,41077,1,84,329,1
46992,m,46482,3,96,24,0
22814,m,48422,3,86,20,0
38584,m,49011,1,96,467,0
2130,m,43314,2,69,61,0
88327,m,49249,3,71,205,1
21719,m,46885,1,68,346,0
5231,f,48128,3,87,81,1
45723,m,40553,3,64,379,1
21406,f,44439,1,66,389,0
70264,f,40247,3,80,401,1
60413,f,49114,3,70,242,0
81139,f,45949,3,85,354,0
8768,m,49707,1,68,133,1
50918,f,42088,2,97,232,1
90948,f,43555,3,91,202,1
53086,f,40838,2,94,452,1
71603,f,48442,3,66,303,1
19046,m,41299,2,68,299,1
92860,m,42542,3,62,264,0
44299,f,46408,2,83,253,0
96899,f,49233,2,62,427,0
37340,f,42126,2,65,366,1
50461,m,44234,3,79,327,0
46552,f,44870,3,67,403,1
29638,m,48540,2,80,140,0
22762,f,41033,2,63,285,0
45129,m,41478,1,98,400,0
25512,m,41648,3,86,454,0
58723,m,48243,3,96,2,0
2630,f,40752,3,90,452,0
18960,f,48516,3,96,67,0
67769,m,41672,3,73,83,0
73223,f,46780,2,75,405,1
19787,m,45907,3,77,52,1
94687,f,42141,3,63,202,0
37997,m,46845,1,94,468,0
83615,f,44027,3,60,63,1
26057,f,48688,1,93,255,0
29033,m,42298,3,68,358,1
42506,f,42578,1,63,68,1
55220,f,44959,2,99,92,0
50003,m,42578,3,62,452,0
65844,m,49613,3,70,421,1
27669,f,45208,1,83,231,1
36938,f,48362,3,62,54,0
65971,f,42377,1,99,303,1
79120,m,41555,2,75,412,0
77277,m,44018,1,72,454,1
22472,m,44257,3,88,468,0
2469,f,46017,2,62,344,1
78968,f,43533,2,89,353,1
87052,m,44237,3,69,202,1
28488,m,44870,3,77,14,1
44299,m,40551,3,74,334,1
33835,f,43697,2,81,374,0
78768,f,49315,2,88,25,1
69559,f,40378,2,74,31,1
5396,m,44397,1,86,356,0
61315,m,41148,1,74,198,1
92363,f,42355,3,62,465,1
53978,m,40204,2,79,313,0
73400,f,43585,3,84,289,0
17887,m,44232,1,61,314,0
58840,m,41054,3,67,189,0
84482,f,46062,3,87,97,1
9124,f,47465,2,79,272,1
93296,m,47283,1,99,329,1
94687,m,48546,2,95,243,0
61075,m,41628,3,70,202,1
65085,m,45140,2,98,251,0
51016,f,40292,2,91,190,1
28932,f,47720,3,86,401,1
98720,f,49998,1,68,67,0
68514,f,41473,3,85,18,1
97803,m,42160,3,93,471,0
17756,m,47512,3,64,470,0
82994,m,46758,2,68,60,0
15220,f,43533,3,87,452,0
96264,f,42287,3,62,97,1
837,m,42330,1,81,409,0
35337,f,49964,3,81,45,1
25878,m,40182,2,76,472,0
82474,f,44442,1,74,17,1
78194,m,48022,2,67,44,1
74005,m,48264,3,89,136,1
1380,m,41352,2,89,100,0
6378,m,43534,1,68,147,1
96899,f,46058,1,74,457,0
17755,f,43143,1,61,93,1
14666,f,49963,1,96,413,1
3031,f,46644,1,98,298,1
35913,m,46396,2,69,276,1
25689,f,45647,1,99,53,0
66586,f,43611,1,64,95,0
26307,m,40590,1,65,314,0
36862,f,43352,2,83,272,1
25116,m,43094,2,83,1,1
32094,f,47056,2,80,108,0
59925,f,46620,2,87,64,1
54775,f,49031,1,97,290,0
45973,f,46789,2,69,365,1
76529,m,48922,2,93,203,1
33948,m,43372,3,64,74,0
45128,m,43374,1,93,305,1
53086,f,49757,1,99,317,0
30212,m,49257,2,62,280,0
15806,m,41583,2,77,192,1
86234,f,46735,1,89,234,1
33592,f,45072,3,85,24,1
92554,m,41249,1,65,83,0
32105,f,45538,2,99,259,0
67105,f,46500,1,60,261,1
74991,m,46754,2,97,398,1
78794,f,42192,2,88,20,0
28244,f,40518,1,61,36,0
82344,m,44772,2,75,118,0
11602,f,49878,1,97,23,0
40774,m,49998,3,81,438,1
97803,m,48390,3,61,398,0
91874,f,41257,2,62,448,0
10467,f,46089,2,89,344,1
5231,m,47182,2,98,12,0
93296,m,44235,1,88,452,0
4634,m,45262,1,71,334,0
84155,f,48264,1,83,42,0
67675,m,40790,1,67,26,1
36270,f,41988,3,61,218,0
83827,f,48995,2,97,167,0
71911,f,42220,3,71,322,0
2469,f,41299,1,74,263,0
95244,m,44414,3,88,193,0
57287,m,44133,3,79,134,1
76301,m,41926,1,65,275,0
32044,f,47283,2,78,343,0
73332,m,43056,3,67,464,1
52250,f,43339,3,92,11,1
11051,m,41895,1,61,26,0
35778,m,45842,1,74,155,1
81994,m,46735,3,94,465,1
60468,f,47538,1,78,454,0
28321,f,46516,3,60,44,0
56030,m,45538,2,82,304,0
65979,f,47418,2,83,296,0
88367,m,44187,2,79,76,0
31579,m,46207,1,87,232,1
31207,f,46830,1,62,59,1
40774,m,43618,3,68,140,1
77642,m,43339,3,75,384,1
91917,m,41664,2,94,402,0
35589,m,49771,1,96,212,0
47278,m,44990,2,69,450,0
88405,f,49020,1,81,291,0
86959,m,47283,3,80,63,1
69213,m,42890,2,91,345,1
766,m,47799,2,87,366,0
26561,m,45004,2,99,241,0
6372,m,47824,3,99,318,0
98030,f,41884,2,95,283,0
56134,m,49609,3,97,329,0
49555,m,44510,3,63,234,1
44421,f,49974,2,62,287,0
23485,f,42646,1,68,417,0
59925,m,49609,1,62,419,0
51087,f,45642,1,98,170,0
73416,m,49732,3,71,461,0
28941,m,41231,3,73,228,0
88166,m,49570,1,81,71,1
46756,m,45191,3,60,37,1
92554,f,44815,2,70,52,1
7698,f,45072,1,90,468,1
38823,f,41905,3,88,415,1
23982,m,48556,2,99,319,0
26460,m,41234,3,80,437,0
62259,f,45600,3,80,271,1
11071,m,48128,1,87,338,0
409,m,49096,1,81,33,0
25689,f,46544,2,68,59,1
59288,m,42342,2,73,315,0
99552,f,44199,2,61,330,1
79808,m,42046,2,89,285,1
83024,f,41218,2,73,329,0
29603,m,48461,3,63,462,0
62535,m,41331,3,86,299,0
40462,m,47649,1,67,360,0
67105,m,42530,2,89,75,0
13128,m,41844,3,78,4,0
79054,f,47284,2,68,71,0
73267,m,47301,2,79,182,1
81138,m,49726,3,84,451,0
83704,m,47166,3,94,292,0
5697,m,41084,2,89,114,1
65278,f,45385,2,72,256,1
20594,f,44058,3,60,96,1
74135,f,49391,2,93,261,1
38584,f,48428,3,88,132,1
36413,f,47627,3,64,367,1
16758,f,48652,1,69,271,0
71223,m,48396,3,82,158,1
17835,f,48858,1,82,373,0
78968,f,48241,3,78,173,1
88751,m,46335,1,70,396,0
56504,m,40864,1,81,379,1
21211,f,42054,3,90,1,0
15806,f,42787,3,73,334,0
25203,m,49114,3,85,264,0
26561,m,43560,1,65,356,0
73400,f,45558,2,89,39,1
12230,f,43611,1,78,94,0
9093,m,44473,3,76,73,0
28932,m,44040,1,64,77,0
87586,m,48546,3,62,290,1
4675,f,46516,1,60,389,1
36869,m,47854,1,91,238,1
53563,m,49097,3,78,304,0
65979,m,46175,2,83,259,1
30803,m,42851,2,84,2,0
49924,m,42582,1,91,24,0
54564,f,40247,2,61,412,0
86612,m,49588,3,90,269,1
31833,f,42279,3,67,50,0
1467,f,40171,3,75,445,0
82593,f,43374,2,83,321,0
4033,m,49609,3,98,77,1
24298,m,48533,3,77,297,1
17387,f,41051,3,72,31,0
32544,m,48128,3,77,26,1
66586,m,44645,2,69,74,1
70045,f,43059,2,83,255,0
23132,m,42537,1,99,252,0
30476,f,43942,3,92,232,1
83145,m,48298,1,63,384,0
77704,m,45996,3,93,269,0
23058,f,42220,2,89,316,0
36420,f,40995,3,66,114,0
8528,f,42338,3,99,37,1
52645,m,48442,2,82,163,1
21688,f,45480,1,61,110,0
41852,m,44245,1,86,11,1
5328,f,48442,3,87,19,0
55417,m,46545,1,82,100,0
78768,m,43348,1,61,352,1
10563,m,45949,3,78,144,1
70648,m,47117,3,69,108,0
15492,m,40292,2,69,136,1
39979,m,48089,1,99,451,0
79730,m,40559,2,83,410,0
24901,f,45984,3,96,114,1
29212,m,46301,1,87,320,1
46073,m,43704,3,83,87,1
6308,f,47785,3,98,144,0
57500,m,47437,3,71,95,0
72217,f,43372,1,62,464,0
33709,f,41352,1,63,361,0
46552,m,49011,3,60,303,1
54478,m,41051,2,84,67,1
36670,m,44644,2,63,64,1
42348,f,49362,2,65,421,0
72535,f,44627,1,68,417,0
45250,f,43777,3,91,472,0
94133,f,45540,1,64,315,0
66794,f,46632,2,99,365,0
10338,m,48761,3,73,255,1
24130,f,45996,2,71,126,0
23647,m,49757,2,72,411,0
26945,f,48062,2,62,347,0
83827,f,49910,2,69,296,0
90498,m,43413,1,75,3,0
25796,f,41219,2,79,164,0
70120,m,49922,3,63,301,0
98720,m,46482,3,85,80,1
99552,f,48089,2,93,384,1
99299,m,43467,1,74,446,0
46131,m,44600,2,70,444,0
30476,m,46062,3,92,293,1
85020,m,42982,1,98,401,0
61075,f,44960,2,96,49,1
35921,f,46222,2,81,342,0
46345,m,47292,1,98,449,1
23795,m,47797,1,72,220,0
26701,f,41863,3,60,145,0
54484,m,44944,3,95,64,1
32823,m,40337,1,80,347,1
34056,m,47612,3,96,194,1
68600,m,47047,1,61,285,0
46005,f,49998,3,72,173,0
45720,m,40606,3,87,252,0
75368,m,45402,3,97,283,0
62535,m,42530,2,91,439,0
21156,f,45631,1,64,434,1
42160,m,48061,2,79,280,1
45128,m,46058,1,73,391,0
48744,m,44341,2,78,156,1
69159,m,44990,2,94,157,1
25689,m,41742,3,98,96,1
44421,f,42141,2,68,187,1
42687,m,46912,1,91,163,1
38654,m,46789,1,71,221,1
2410,f,42746,1,70,463,1
2469,f,48784,1,79,398,0
44295,m,44027,2,79,318,1
99520,f,46175,2,86,308,1
38832,m,49315,2,95,462,1
47163,m,40385,3,95,117,0
28714,m,46028,2,83,333,0
99770,f,47687,2,98,30,0
53563,f,49867,3,76,75,0
22961,f,49910,1,62,235,0
86234,f,43280,1,70,122,0
81994,m,44436,2,97,266,1
38276,m,49732,2,71,160,1
42687,m,49020,1,87,436,1
24298,m,40893,2,90,220,0
69213,f,47409,1,93,256,1
18156,f,40041,2,75,97,1
4401,f,42330,1,90,465,0
46322,m,43143,1,75,207,1
37447,f,42674,2,71,45,0
36938,f,48487,3,86,91,0
46992,m,42890,1,74,299,0
93296,m,40900,2,62,326,0
86632,f,42264,2,64,299,1
87363,m,41146,3,89,277,0
28005,f,43806,2,80,406,1
77704,f,40747,1,72,432,0
76863,f,48089,3,80,44,0
1191,m,44669,3,77,303,1
71558,f,42841,3,94,102,1
86444,m,45942,1,77,14,1
15220,f,42869,1,83,421,0
99095,f,46638,3,72,299,1
64161,f,46007,3,96,326,0
38561,f,48103,2,89,349,1
17084,m,45627,3,84,212,0
91810,m,47797,3,83,160,0
94322,m,49597,1,96,161,1
81870,m,43374,2,72,173,1
52629,f,46436,2,77,449,1
22361,m,42141,2,95,111,1
47701,m,42890,1,79,322,0
54564,f,40146,1,79,430,1
27669,m,42209,3,61,205,1
67091,f,41172,1,75,244,0
44041,f,49822,3,99,379,1
69927,f,44955,2,81,143,1
1191,m,41226,2,80,360,0
84159,f,42377,3,88,44,1
93106,f,41054,1,83,275,0
86816,m,48062,3,94,450,1
86912,m,46516,2,74,324,0
32036,f,45344,3,87,263,1
2981,f,46783,2,91,428,0
29638,m,47956,1,63,445,0
7255,m,42621,2,98,339,0
59995,f,40204,1,95,355,1
25203,f,49771,2,83,133,0
97304,f,42605,2,97,450,1
8544,f,44610,3,73,229,0
47559,f,43698,3,85,122,1
64086,f,46004,1,90,231,1
24003,m,48957,2,93,114,1
15643,f,40048,3,64,434,1
81138,m,42116,2,83,128,1
97195,f,41299,1,85,37,0
80897,f,47205,1,65,34,1
46049,f,47669,3,73,260,1
95176,f,42722,3,91,51,1
3559,m,41727,2,68,138,0
41967,f,40610,3,99,334,0
86378,m,49597,2,87,203,1
44295,f,49613,1,85,127,1
83704,f,40356,2,86,343,0
85020,f,48980,1,87,376,0
23485,m,41051,3,65,99,0
75218,m,41599,2,83,158,1
50033,f,43413,2,73,83,0
33709,f,40737,2,69,381,1
27102,m,40893,3,74,191,0
94133,f,46179,2,75,456,1
68514,m,47202,1,88,165,1
56134,m,44699,1,86,249,1
98189,f,45475,3,63,233,0
64764,m,45331,1,85,44,1
36527,f,49996,2,91,239,1
42687,m,49908,3,69,375,0
77704,m,47870,1,76,180,0
80208,f,47565,3,86,192,0
51602,m,42131,2,74,375,1
95695,f,48668,2,87,435,1
29033,m,43166,3,84,33,0
76165,f,41243,1,97,314,1
64303,m,45209,3,87,37,1
30389,m,48664,1,72,258,0
73400,m,42551,1,88,362,0
46967,f,49419,2,96,200,0
2630,m,43374,3,97,258,0
88871,f,42828,2,75,137,1
36420,m,46441,2,99,265,1
25512,f,42054,2,68,231,1
77986,f,45907,3,99,305,0
81434,m,44151,2,60,57,1
67106,m,40844,1,80,294,0
90948,f,42126,2,65,220,0
49555,f,41926,3,79,288,1
44467,m,45831,2,91,424,0
65979,f,44826,1,85,21,0
18607,m,43694,2,67,150,0
41852,f,40658,1,65,45,1
69108,f,48428,3,60,33,0
44467,m,49305,2,90,449,1
37893,f,42682,3,99,428,1
77014,m,45480,3,94,157,0
13222,f,49032,2,64,63,1
91237,m,43789,3,69,109,1
56671,m,41579,3,64,376,1
96580,m,49446,1,77,417,0
38584,m,42604,3,71,32,0
98513,f,46058,2,97,136,0
38654,m,47773,2,87,76,0
61075,m,47163,1,83,29,1
61838,f,44168,2,71,343,1
29603,m,46972,2,90,290,1
14794,m,46864,1,71,21,0
1090,f,45969,1,62,470,0
78968,f,44649,2,73,467,0
79538,m,47824,2,67,33,1
48065,m,46719,2,72,398,0
65638,f,43352,3,99,138,0
17387,m,41281,3,75,346,1
22370,m,44510,3,70,95,0
94466,m,43447,1,74,348,1
33513,m,49910,1,78,218,0
46131,f,40606,1,89,449,1
99437,f,47737,1,89,23,1
60413,m,42623,3,90,192,1
557,m,47905,1,90,439,1
79054,f,46789,1,80,94,0
75390,m,41219,1,79,218,1
44131,m,41583,2,97,100,1
40437,f,40931,1,85,63,1
79359,f,40796,2,74,255,1
86816,m,45602,3,83,332,1
28223,f,45278,2,97,8,1
20715,f,46436,2,79,130,1
2192,f,48094,1,75,297,1
4401,f,42554,2,63,49,0
65775,m,45787,1,92,401,1
79054,m,44850,3,67,475,0
58840,m,48114,2,75,165,0
