Year,Model,Price,Mileage,Color,Transmission
2011,SES,14981,31801,Green,Auto
2007,SEL,18278,19091,Silver,Auto
2004,SEL,19235,144332,Gold,Manual
2002,SEL,5181,25437,Blue,Auto
2008,SE,7525,33056,Silver,Manual
2002,SE,11672,118250,Gold,Manual
2005,SEL,18975,68739,Red,Auto
2007,SES,17455,64546,Yellow,Auto
2002,SEL,15122,72199,Gray,Manual
2004,SEL,15696,7295,Gold,Auto
2003,SEL,13198,90170,Red,Manual
2009,SE,16153,54730,Blue,Manual
2001,SEL,18493,145419,Red,Auto
2006,SE,21776,101919,White,Auto
2003,SE,15323,79565,Gold,Manual
2001,SE,17072,61976,Black,Auto
2003,SES,12854,61976,Black,Manual
2009,SE,12161,127324,Gold,Manual
2003,SES,9753,133747,Gold,Auto
2009,SES,14728,16144,Red,Auto
2010,SEL,15740,133851,Gold,Auto
2009,SE,9888,140484,Red,Manual
2003,SEL,14647,32901,Black,Auto
2000,SE,16662,58504,Black,Manual
2011,SE,16642,107989,Gold,Auto
2002,SE,12353,7774,Gray,Manual
2006,SE,5421,111306,Gray,Auto
2005,SE,17472,141613,White,Manual
2011,SES,21515,104285,Silver,Auto
2000,SE,20904,13643,Red,Auto
2007,SE,8983,60048,Blue,Auto
2007,SEL,11433,143439,Green,Manual
2006,SEL,18245,141613,Red,Manual
2002,SE,8414,128149,Yellow,Auto
2001,SEL,19086,68269,Blue,Auto
2001,SEL,10096,50337,Blue,Auto
2010,SES,17268,34257,Blue,Auto
2011,SEL,7293,13314,Red,Auto
2002,SEL,7588,26857,Silver,Manual
2008,SE,16753,109884,Blue,Manual
2003,SE,6266,66904,Green,Manual
2003,SEL,16180,144553,White,Manual
2011,SES,11147,91199,Black,Auto
2011,SEL,14315,25437,Gold,Manual
2003,SEL,6375,144888,Silver,Manual
2008,SEL,7999,21178,Silver,Auto
2011,SE,8737,146076,Red,Auto
2001,SES,18326,113629,Gray,Auto
2007,SE,8615,50846,Gray,Manual
2000,SES,15702,123314,Gray,Manual
2005,SEL,4815,16813,Red,Auto
2007,SES,14041,128243,Gray,Auto
2006,SES,20265,25357,Gold,Auto
2011,SEL,12627,79401,Blue,Manual
2004,SE,10971,73867,White,Manual
2003,SEL,20031,87398,Gold,Auto
2006,SEL,11637,65006,Red,Manual
2011,SE,5452,48932,Silver,Manual
2009,SEL,21332,90221,Blue,Manual
2008,SE,6554,92824,Red,Auto
2006,SEL,13729,141656,Gold,Manual
2004,SES,6953,103934,White,Manual
2005,SEL,8885,107142,White,Auto
2007,SES,18977,113422,White,Auto
2004,SE,12749,49563,Green,Auto
2006,SE,5181,87107,Gold,Auto
2002,SES,19088,10709,Red,Manual
2009,SES,6473,36461,Black,Manual
2001,SEL,7765,147359,Black,Manual
2008,SEL,6508,34799,Yellow,Auto
2009,SEL,21570,26627,Gold,Manual
2010,SEL,15410,50214,Silver,Auto
2000,SE,6707,140699,Gold,Auto
2002,SEL,16711,54455,Black,Auto
2005,SES,5976,137110,Silver,Manual
2010,SE,11561,56869,Red,Auto
2002,SES,7418,135675,Red,Manual
2004,SE,9303,41769,Yellow,Manual
2000,SEL,5195,41680,Blue,Auto
2001,SEL,15437,91735,White,Auto
2009,SE,18347,5926,Yellow,Manual
2009,SEL,11628,8962,Yellow,Auto
2003,SES,15597,64546,Blue,Manual
2008,SE,16519,40792,Gold,Auto
2008,SE,6543,118250,Silver,Auto
2009,SEL,14834,58357,Black,Auto
2000,SE,8214,81470,Yellow,Manual
2000,SEL,9016,99465,White,Manual
2005,SEL,4845,56535,Silver,Auto
2003,SEL,18846,95456,Black,Manual
2003,SE,14014,32461,Gray,Manual
2005,SEL,15560,14813,Gray,Auto
2004,SEL,13643,148430,Black,Manual
2008,SEL,14863,34146,White,Auto
2001,SE,8319,105099,Silver,Auto
2002,SEL,16172,27869,Black,Manual
2011,SEL,8223,69454,Green,Auto
2003,SE,16574,25043,Red,Auto
2007,SES,4590,57974,Silver,Manual
2005,SEL,12124,122018,Silver,Auto
2004,SES,14511,141879,Silver,Manual
2004,SEL,14268,108136,Green,Auto
2002,SEL,17568,101154,Green,Manual
2007,SEL,15465,41839,Green,Manual
2002,SEL,11334,27948,Black,Manual
2008,SEL,7391,13617,Black,Manual
2006,SEL,19367,44269,Blue,Auto
2009,SEL,12955,136106,Green,Auto
2004,SE,6862,63579,Red,Auto
2008,SES,6320,69808,Green,Auto
2001,SEL,17986,124183,White,Auto
2011,SE,3889,106799,White,Manual
2006,SEL,7205,134077,Gray,Manual
2009,SEL,3888,39508,Yellow,Manual
2003,SE,21908,124362,White,Auto
2011,SE,13188,127378,Gold,Manual
2005,SE,20902,42611,Silver,Auto
2010,SE,8834,84846,Gold,Manual
2011,SES,4266,37562,White,Manual
2009,SE,13303,105153,Gray,Manual
2008,SEL,15662,33444,Silver,Manual
2007,SES,5507,146035,White,Auto
2009,SES,10329,122267,Gold,Manual
2003,SE,14540,84187,Gold,Manual
2008,SE,19297,115782,Gray,Auto
2005,SE,13989,62450,Blue,Auto
2007,SE,20706,140484,Gold,Auto
2009,SEL,8885,15240,Gold,Auto
2003,SE,14411,79565,Blue,Auto
2008,SEL,9231,145246,Gold,Manual
2004,SES,5254,50392,Yellow,Manual
2002,SE,14550,146864,Blue,Auto
2003,SEL,13677,105099,Black,Manual
2011,SES,4080,143250,Yellow,Auto
2006,SE,5039,105099,Yellow,Manual
2008,SE,17174,26888,Silver,Auto
2009,SEL,21348,94457,Green,Auto
2005,SEL,19176,18065,Silver,Manual
2001,SEL,19075,57584,Green,Auto
2006,SES,7931,54407,Gold,Manual
2006,SES,5252,33177,White,Manual
2003,SE,8240,138085,Yellow,Manual
2004,SES,12714,77265,Yellow,Manual
2003,SES,3882,102160,Green,Manual
2005,SE,4980,132692,Black,Manual
2011,SEL,7725,68022,Gold,Manual
2010,SEL,7711,58505,Yellow,Auto
2003,SEL,16425,82011,Silver,Manual
2011,SE,6528,48682,White,Auto
2003,SEL,18269,64699,Green,Manual
2006,SEL,8417,95530,Yellow,Manual
2002,SE,14066,68106,Silver,Auto
2011,SEL,6362,86854,Silver,Manual
2004,SEL,9894,144888,Silver,Manual
2001,SEL,20989,66303,Blue,Manual
2006,SE,6994,146526,Red,Auto
2002,SEL,15575,26888,Gold,Manual
2006,SE,4525,142430,Gold,Auto
2001,SES,20579,90690,Red,Manual
2007,SEL,20853,10100,Black,Manual
2005,SEL,17477,83493,Red,Manual
2002,SES,15569,93939,Red,Auto
2002,SE,4695,23250,White,Manual
2009,SEL,14647,148767,Gray,Auto
2000,SEL,7577,141656,Silver,Auto
2003,SES,15696,64333,Yellow,Manual
2007,SE,20144,53298,Blue,Auto
2005,SES,15404,10376,Gold,Auto
2005,SEL,15298,38305,Gold,Auto
2011,SEL,21549,24271,Yellow,Auto
2004,SE,21513,51286,Yellow,Manual
2003,SEL,9909,36457,Gold,Manual
2009,SE,20885,127541,White,Manual
2008,SEL,8531,54100,Silver,Auto
2003,SEL,5796,18530,Gray,Auto
2006,SE,15620,128062,Black,Auto
2004,SES,8387,61711,White,Manual
2011,SES,21468,124624,Blue,Auto
2011,SES,19605,94301,Black,Manual
2000,SES,16899,13039,Yellow,Manual
2010,SEL,13840,148497,Gold,Auto
2008,SES,20604,122178,Red,Auto
2010,SEL,4334,143976,Yellow,Manual
2001,SES,16574,92406,Blue,Auto
2011,SES,9697,134735,Red,Auto
2001,SE,14694,121984,Silver,Auto
2011,SEL,19508,148745,Red,Auto
2002,SEL,17227,26792,Yellow,Manual
2005,SE,5974,147122,White,Auto
2005,SE,15441,73199,Gold,Manual
2003,SES,9567,140484,White,Auto
2001,SEL,8009,146575,Silver,Manual
2003,SE,6763,27212,Gold,Manual
2009,SES,19539,116315,Green,Auto
2005,SE,21176,90169,Silver,Manual
2004,SE,9362,61504,Red,Manual
2000,SE,12491,103232,Red,Auto
2003,SES,11694,46423,Blue,Manual
2001,SES,16037,134693,Gray,Manual
2000,SE,7667,47918,Green,Manual
2002,SEL,20969,8158,Gray,Manual
2000,SEL,20736,123545,Gray,Auto
2008,SEL,8571,97737,Blue,Manual
2005,SES,17702,57416,Silver,Auto
2002,SES,19253,68077,Black,Manual
2000,SES,12195,109292,Red,Auto
2000,SES,20706,98953,White,Manual
2008,SEL,6110,82998,Yellow,Auto
2002,SEL,4297,73384,Silver,Manual
2004,SES,18333,128419,Gray,Auto
2007,SE,12688,20587,White,Manual
2000,SES,17409,133157,Black,Auto
2005,SES,15279,74645,Blue,Auto
2002,SES,17882,115207,Blue,Manual
2010,SES,18274,103559,Gold,Manual
2010,SEL,21897,36248,Gold,Manual
2008,SEL,8163,92371,Red,Auto
2011,SEL,21678,137376,Silver,Manual
2006,SEL,13113,46624,Blue,Manual
2011,SE,4831,65540,Gray,Auto
2002,SE,20790,74897,Gray,Manual
2009,SES,14543,18128,Black,Manual
2008,SES,4071,105864,Gray,Manual
2009,SES,12269,83927,White,Manual
2011,SE,20228,82874,White,Auto
2008,SEL,9880,73384,Black,Manual
2010,SE,15203,136601,Gold,Manual
2003,SE,16461,58425,Blue,Auto
2007,SEL,18699,87841,Green,Manual
2000,SEL,13916,137295,Silver,Auto
2003,SEL,14174,10100,Gold,Manual
2005,SEL,12762,110451,Green,Auto
2003,SES,17340,87857,Yellow,Manual
2002,SEL,8387,98450,Red,Manual
2007,SES,9976,22433,Silver,Manual
2005,SEL,17247,36457,Gray,Manual
2009,SES,8163,68884,Yellow,Manual
2000,SES,4995,123378,Gray,Manual
2004,SES,20755,36599,Gray,Auto
2003,SE,8885,106218,Yellow,Auto
2005,SEL,18732,148277,Gold,Manual
2008,SE,21674,69202,Gold,Auto
2001,SES,8650,93811,White,Manual
2000,SE,10878,10019,Blue,Auto
2005,SES,10542,21178,Black,Auto
2001,SEL,17495,70771,White,Manual
2011,SES,14268,89625,Yellow,Auto
2008,SEL,17212,84476,Gray,Manual
2003,SEL,15250,84006,Silver,Manual
2002,SES,12801,137295,Gray,Auto
2000,SE,4224,136106,White,Manual
2002,SES,5706,148497,Green,Auto
2010,SES,18689,53573,Green,Manual
2008,SEL,4980,97844,Red,Manual
2002,SES,18336,144761,Gray,Manual
2004,SES,15392,76241,Black,Manual
2004,SE,20265,112587,White,Manual
2009,SES,11147,128159,Green,Manual
2000,SES,7973,57391,Gold,Manual
2011,SE,9082,25437,Gray,Auto
2009,SEL,18548,121906,Gray,Manual
2008,SEL,16878,85182,Red,Auto
2009,SES,12990,116013,White,Manual
2003,SEL,4071,121050,Black,Auto
2008,SE,9837,133851,Gray,Manual
2011,SEL,12201,35983,Green,Auto
2005,SEL,16037,62593,White,Manual
2009,SE,15398,76385,Green,Auto
2001,SES,10573,124644,Gold,Manual
2006,SE,5799,20711,Green,Auto
2004,SES,16490,12553,Gray,Auto
2003,SEL,20656,60048,Red,Auto
2011,SES,15457,82708,White,Manual
2000,SEL,5138,142210,Green,Manual
2002,SE,8302,38125,Red,Auto
2007,SEL,7210,53123,Gold,Manual
2000,SES,10029,55099,Yellow,Auto
2010,SEL,18400,104285,Gray,Manual
2003,SEL,16645,21265,Silver,Auto
2001,SEL,10751,146745,Red,Auto
2002,SE,20115,10729,Red,Auto
2008,SE,14981,83622,Gray,Manual
2011,SE,8259,146076,Red,Manual
2011,SEL,4289,94917,Silver,Manual
2006,SE,11119,136536,Gray,Manual
2002,SE,16468,120018,Yellow,Manual
2002,SEL,6610,65869,Yellow,Auto
2006,SEL,9472,57416,White,Manual
2007,SEL,15575,146783,Yellow,Auto
2002,SEL,21975,94579,Gray,Manual
2009,SE,18336,137914,Gray,Auto
2009,SES,10974,131034,Black,Auto
2005,SEL,20112,89116,Gray,Auto
2009,SEL,11637,87919,Green,Auto
2011,SES,5668,83518,Silver,Auto
2005,SEL,21313,5523,Silver,Manual
2003,SEL,5450,81887,Black,Manual
2006,SES,17773,51509,Red,Auto
2009,SEL,8443,143195,Black,Auto
2002,SE,11251,109869,Blue,Auto
2004,SE,15892,44128,Silver,Auto
2004,SEL,18086,80866,Blue,Auto
2002,SEL,21170,52276,Green,Manual
2009,SES,14708,18065,Red,Auto
2001,SES,11682,134278,Black,Manual
2011,SES,7007,55747,Gray,Manual
2001,SE,21001,37735,Silver,Auto
2009,SES,13484,30322,Black,Auto
2001,SES,14336,51509,White,Auto
2000,SES,21787,78578,Gray,Manual
2004,SE,10466,141167,Green,Auto
2000,SES,8069,35983,Silver,Auto
2003,SES,7749,107863,Red,Manual
2000,SE,10830,48791,Gold,Auto
2009,SEL,11234,105819,Gray,Manual
2001,SES,19999,55824,White,Manual
2009,SE,6320,41566,Gold,Auto
2008,SE,7701,58653,Black,Manual
2002,SES,7790,147476,White,Auto
2001,SES,5222,5846,Green,Auto
2005,SE,12125,21265,Gray,Manual
2011,SES,17472,21178,White,Manual
2009,SES,12882,134197,Yellow,Auto
2000,SES,13686,146245,Green,Manual
2000,SE,9439,91037,Silver,Manual
2002,SE,19508,105585,White,Auto
2011,SEL,14618,92842,Gray,Auto
2005,SE,12764,146783,Red,Manual
2000,SES,8381,16144,Silver,Manual
2000,SE,4706,66923,Gold,Auto
2003,SE,16519,114737,Gray,Manual
2002,SE,6763,55130,Black,Manual
2002,SEL,12699,52501,Gray,Auto
2002,SES,13950,142908,Gold,Manual
2002,SE,17224,33714,Gold,Manual
2001,SEL,6108,26792,Gold,Auto
2005,SEL,18575,24179,Gray,Manual
2001,SEL,21474,45362,Blue,Auto
2007,SE,15908,96177,Silver,Auto
2006,SE,14067,94511,Gold,Auto
2000,SE,4995,84517,Gold,Auto
2002,SEL,8859,119152,Green,Manual
2006,SES,16451,53573,Gold,Manual
2004,SEL,9669,5756,Gray,Auto
2002,SEL,14682,116775,Gray,Auto
2000,SE,16584,85078,Green,Auto
2007,SE,21640,14654,Blue,Manual
2004,SE,8891,134714,Gold,Auto
2000,SEL,6449,84134,Gray,Manual
2001,SEL,9274,36172,Gold,Manual
2008,SEL,14103,132562,Black,Auto
2001,SEL,16623,13528,Gold,Auto
2001,SEL,8718,46624,Silver,Auto
2006,SEL,13164,140484,Blue,Auto
2009,SES,17123,26310,Green,Manual
2001,SE,15136,37924,Yellow,Manual
2001,SEL,12065,80504,Black,Manual
2001,SE,14069,116763,White,Manual
2005,SEL,12201,60488,Black,Manual
2010,SES,13715,16037,Gray,Auto
2002,SE,15986,8072,Gold,Auto
2002,SE,10828,89025,Gold,Auto
2010,SE,12302,64645,Yellow,Manual
2001,SES,7639,138648,Blue,Auto
2011,SEL,10414,80736,Green,Auto
2007,SE,5366,51482,Yellow,Auto
2005,SEL,8139,141758,Silver,Manual
2007,SEL,9647,139116,Red,Manual
2003,SES,10537,100686,Gold,Manual
2001,SEL,20471,128955,Gold,Manual
2010,SE,16413,24879,Gold,Auto
2004,SE,9842,10118,Black,Auto
2003,SES,7603,119192,Green,Manual
2010,SEL,7862,106624,Gray,Manual
2009,SE,19605,108581,Silver,Auto
2006,SE,21640,54100,Black,Manual
2001,SE,16645,118191,Gold,Manual
2001,SEL,13989,26627,Gold,Auto
2003,SES,15514,148430,Yellow,Manual
2008,SEL,13487,50130,Yellow,Auto
2007,SE,15579,94264,Blue,Manual
2007,SES,16037,44922,Black,Auto
2009,SES,6484,109124,White,Auto
2008,SE,4394,11270,Silver,Manual
2002,SES,10922,25716,Gold,Auto
2007,SEL,18095,40792,Red,Auto
2011,SEL,5322,138879,Gold,Auto
2007,SE,6394,92371,Gold,Auto
2000,SEL,17495,15036,White,Manual
2008,SES,5702,32934,Red,Auto
2011,SES,20144,141167,Gold,Manual
2007,SES,20546,31154,Blue,Auto
2006,SE,21799,109884,Black,Auto
2009,SEL,5548,77032,Green,Manual
2005,SEL,4525,53453,Yellow,Manual
2008,SES,14627,44191,Gray,Auto
2007,SE,7862,83770,Green,Auto
2007,SES,15721,134077,Silver,Manual
2005,SES,10285,66304,Green,Manual
2005,SE,15438,12468,Silver,Manual
2006,SE,4884,116684,Gold,Manual
2008,SE,16037,29437,White,Manual
2008,SES,10530,40800,Green,Manual
2006,SE,21320,37422,Yellow,Auto
2006,SES,3888,93367,White,Auto
2000,SES,20557,87841,Black,Auto
2008,SE,10716,140484,Gray,Manual
2000,SES,4414,117385,Gray,Manual
2002,SES,18336,32934,Red,Auto
2004,SE,12272,94264,Yellow,Manual
2008,SE,11729,67091,Black,Auto
2002,SEL,4434,51427,White,Auto
2003,SEL,11672,126078,Yellow,Auto
2002,SES,19075,57435,Gray,Auto
2006,SES,15331,10709,Blue,Manual
2005,SEL,6108,10490,Gray,Auto
2004,SE,18046,114607,Gray,Manual
2000,SE,8240,142890,Blue,Auto
2001,SES,14103,148834,White,Auto
2009,SE,6825,5108,Gold,Auto
2011,SES,19284,61378,Gray,Auto
2000,SEL,21758,118964,Silver,Manual
2005,SE,16078,10357,Gray,Auto
2000,SE,19685,107171,Blue,Auto
2005,SE,9946,91199,Red,Auto
2000,SE,5300,100718,Black,Manual
2003,SES,10708,34608,Yellow,Manual
2000,SE,10414,68349,White,Manual
2008,SES,8308,10118,Blue,Auto
2000,SES,8650,116013,Green,Auto
2003,SE,15986,91820,Silver,Auto
2006,SES,19550,58713,White,Auto
2002,SEL,11348,92651,Black,Manual
2010,SE,15679,149660,Gold,Manual
2001,SEL,12269,31647,Green,Auto
2004,SEL,9221,51678,Red,Manual
2004,SE,17247,70550,Red,Auto
2007,SE,14434,55062,Green,Manual
2002,SE,11249,135066,White,Manual
2005,SES,6481,18530,Black,Auto
2011,SE,15849,49917,Green,Auto
2003,SE,17638,54561,Yellow,Manual
2009,SEL,5796,27039,Gold,Auto
2000,SEL,13866,84392,Green,Auto
2007,SEL,10097,96947,Yellow,Manual
2007,SES,9918,114419,Gray,Auto
2007,SES,3889,36461,Gray,Auto
2005,SES,12305,141782,Gold,Auto
2010,SE,16207,54702,Gold,Manual
2003,SES,4994,121050,Gray,Manual
2000,SES,4729,40573,Red,Auto
2003,SE,7741,128092,Red,Manual
2005,SE,15203,29346,Yellow,Manual
2005,SEL,4081,57391,Yellow,Manual
2002,SES,16672,113701,Black,Manual
2005,SES,20673,98752,Gold,Auto
2008,SE,18802,5756,Gold,Auto
2009,SES,14357,101809,Gray,Auto
2010,SEL,7264,19091,Silver,Manual
2005,SES,14069,52891,Gold,Manual
2006,SES,10572,109884,Green,Manual
2006,SES,12880,121317,Red,Manual
2008,SE,6303,69454,Blue,Auto
2001,SES,10055,145419,Black,Auto
2011,SES,21513,133772,Yellow,Auto
2001,SEL,16172,72859,Blue,Auto
2011,SES,15721,69117,Yellow,Manual
2007,SES,21356,65221,Black,Auto
2003,SES,18156,128684,Black,Auto
2005,SEL,4967,58713,Silver,Manual
2008,SEL,6041,85090,Gray,Auto
2007,SEL,16112,22295,White,Auto
2005,SEL,16084,30720,Yellow,Auto
2008,SEL,15163,134693,Gold,Auto
2010,SE,10592,82715,Yellow,Manual
2008,SEL,13162,99279,Blue,Manual
2004,SES,8882,95712,Green,Manual
2004,SEL,12254,106651,Gray,Auto
2002,SEL,20467,69117,Gold,Auto
2008,SES,9769,143976,Yellow,Auto
2008,SES,6890,63631,Green,Auto
2003,SE,15122,117130,Blue,Auto
2002,SEL,6277,123886,Red,Manual
2000,SE,21373,54100,Gray,Auto
2008,SES,8392,34466,Gold,Manual
2001,SE,11147,54174,Green,Manual
2005,SES,10800,49734,White,Auto
2006,SES,11191,102295,Blue,Manual
2010,SE,15264,142210,Black,Manual
2001,SEL,5816,116615,Green,Manual
2004,SEL,18046,137691,Yellow,Auto
2002,SE,21537,40523,Blue,Manual
2011,SES,10828,121357,Blue,Manual
2008,SES,8900,103934,Red,Auto
2000,SE,5809,72859,Blue,Auto
2008,SES,18036,82980,Red,Auto
2009,SE,13705,110630,Yellow,Manual
2009,SES,5976,146245,Red,Auto
2006,SES,9060,134295,White,Manual
2010,SEL,10233,133789,Green,Manual
2009,SE,4629,40339,Gold,Auto
2008,SEL,8414,93648,Blue,Auto
2005,SE,19762,145055,Gray,Manual
2000,SE,15128,120029,Blue,Manual
2001,SE,16565,88651,Gold,Auto
2008,SES,10310,141433,Gold,Manual
2003,SE,21571,83393,Green,Auto
2001,SES,10828,61005,Gray,Manual
2009,SEL,10542,76028,Green,Auto
2005,SES,17564,142982,White,Auto
2010,SE,12305,96177,Blue,Auto
2003,SE,18704,125542,Red,Auto
2005,SEL,3832,133261,Yellow,Auto
2007,SES,21007,63555,Green,Manual
2009,SES,20987,42692,White,Auto
2009,SEL,6930,65776,Gold,Auto
2011,SES,20032,93346,Red,Auto
2008,SE,14126,30720,Yellow,Manual
2008,SE,18493,97098,Gray,Manual
2010,SE,10876,52276,Gray,Auto
2002,SE,7430,15014,Black,Manual
2010,SES,5015,122152,Blue,Auto
2000,SES,5450,36457,Gray,Auto
2008,SES,5358,64515,Blue,Manual
2007,SE,4288,123826,Gold,Auto
